Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,RSI,MACD,Daily_Return,Volatility
2025-07-01,206.9987945556641,209.35942450018743,205.3254252695324,205.85332972802505,78788900,200.3700927734375,200.16888961791992,68.19136872281437,1.5741713522430132,0.0129161835744464,0.0114207561787797
2025-07-02,211.6005401611328,212.49697770796604,207.31752868499885,208.08449026524104,67941800,202.0434539794922,200.625577545166,74.02301384999723,2.2874395853822875,0.022230784557691,0.0105407277516827
2025-07-03,212.70616149902344,213.80180573654252,210.9730316271009,211.3116844715072,34955800,203.7337509155273,201.1599578857422,75.19946951556355,2.908397999150651,0.0052250402435112,0.0105259689065302
2025-07-07,209.120361328125,215.37554414763463,207.97491173225177,211.8395692407974,50229000,204.62521057128907,201.62411575317384,64.92900869385971,3.075713004861626,-0.0168579985912392,0.0119216349395811
2025-07-08,209.1801300048828,210.59451698338924,207.6262968509882,209.26978591644843,42848900,205.47284698486328,201.9274116516113,65.01477802588516,3.176517271244194,0.0002858099344236,0.0119816662725448
2025-07-09,210.30567932128903,210.49493096772343,206.4011710318064,208.7020406311003,48749400,206.5525650024414,202.40999755859372,66.66796286590832,3.3090827556590057,0.0053807659282931,0.0114369752279464
2025-07-10,211.57064819335932,212.6364120977978,209.2000480941239,209.678147079363,44443600,207.6332778930664,202.8950729370117,68.47116611871326,3.476143455400916,0.0060149059034102,0.0114347699039741
2025-07-11,210.3255920410156,211.29176024279,209.03072603053,209.73792710960444,39765800,208.6452606201172,203.5116271972656,64.75779252685678,3.4680965788818128,-0.0058848245868484,0.0117177954222166
2025-07-14,207.79562377929688,210.07658325197187,206.71988962428105,209.1004448233413,38840100,209.39627838134768,203.98076553344723,57.887764393508576,3.220448747866413,-0.0120288179729709,0.0128635625143085
2025-07-15,208.28369140625,211.052704873644,208.0944397695192,208.393257343384,42296300,209.7887222290039,204.61126480102536,58.79591190897148,3.028656568476066,0.0023487868419764,0.0114699917664539
2025-07-16,209.3295440673828,211.5606828488181,207.8155461810567,209.4689902412225,47490500,210.02179718017575,205.19594497680663,60.7492235611665,2.927307277608463,0.0050212892525172,0.0108893187786634
2025-07-17,209.1901092529297,210.9630743588066,208.7618004967043,209.7379389650813,48068100,209.78075408935547,205.91210403442383,60.33853613722019,2.803419930304443,-0.0006661019354642,0.0079912933736736
2025-07-18,210.3455047607422,210.95309492429405,208.871357307622,210.0367321724359,48974600,209.54468841552733,206.63921966552732,62.595078813875496,2.766577690956666,0.0055231842076028,0.0080180912311632
2025-07-21,211.640365600586,214.92732845073888,210.7937335563828,211.2618775331451,51377400,209.79668884277345,207.2109497070313,64.99854499581647,2.8094784799342847,0.0061558759780324,0.0060493055779908
2025-07-22,213.55279541015625,214.1006251327807,211.39137195770533,212.2977797534573,46404100,210.2339553833008,207.85340118408203,68.24404450290774,2.963631863743643,0.0090362242767028,0.0065149105296915
2025-07-23,213.30377197265625,214.29982043425812,211.57065737650467,214.15041924441525,46989300,210.5337646484375,208.54316482543945,67.36807499335143,3.030768606884976,-0.0011660977652936,0.0064763253389332
2025-07-24,212.91531372070312,214.8376951551737,212.68622683006964,213.054759897414,46022600,210.66823120117184,209.15075454711916,65.94606730418758,3.017841823071961,-0.0018211504107996,0.006333145982094
2025-07-25,213.03485107421875,214.3894775978428,212.5567368669443,213.8516029142824,40268800,210.93915710449215,209.79220886230468,66.18262207233337,2.9828583844895604,0.0005614314509685,0.0059076546556388
2025-07-28,213.2041778564453,214.001019671446,212.2180844005514,213.18425263148453,37858000,211.48001251220705,210.43814544677736,66.5372175440753,2.93496456897455,0.0007948313685424,0.0036567652736542
2025-07-29,210.4351501464844,213.96115480223384,209.9869314052821,213.3336394454552,51411700,211.69515838623047,210.7419403076172,56.16552958407424,2.643102935295218,-0.0129876803437939,0.0061381313682907
